teacher_id,teacher_name,department,email
1,张晨,计算机科学技术学院,t001@fudan.edu.cn
2,王雨桐,信息科学与工程学院,t002@fudan.edu.cn
3,李思远,数学科学学院,t003@fudan.edu.cn
4,刘子涵,物理学系,t004@fudan.edu.cn
5,陈奕辰,化学系,t005@fudan.edu.cn
6,杨若曦,生命科学学院,t006@fudan.edu.cn
7,赵明轩,新闻学院,t007@fudan.edu.cn
8,黄静怡,经济学院,t008@fudan.edu.cn
9,周梓萱,管理学院,t009@fudan.edu.cn
10,吴泽宇,外国语言文学学院,t010@fudan.edu.cn
11,徐佳宁,法学院,t011@fudan.edu.cn
12,孙昊然,医学院,t012@fudan.edu.cn
13,马语彤,公共卫生学院,t013@fudan.edu.cn
14,朱浩宇,计算机科学技术学院,t014@fudan.edu.cn
15,胡欣怡,信息科学与工程学院,t015@fudan.edu.cn
16,郭子墨,数学科学学院,t016@fudan.edu.cn
17,何雨辰,物理学系,t017@fudan.edu.cn
18,高梓涵,化学系,t018@fudan.edu.cn
19,林可欣,生命科学学院,t019@fudan.edu.cn
20,宋奕然,新闻学院,t020@fudan.edu.cn
21,郑清越,经济学院,t021@fudan.edu.cn
22,谢语嫣,管理学院,t022@fudan.edu.cn
23,唐逸凡,外国语言文学学院,t023@fudan.edu.cn
24,冯思琪,法学院,t024@fudan.edu.cn
25,韩泽凯,医学院,t025@fudan.edu.cn
26,彭诗涵,公共卫生学院,t026@fudan.edu.cn
27,蔡宇航,计算机科学技术学院,t027@fudan.edu.cn
28,邓欣妍,信息科学与工程学院,t028@fudan.edu.cn
29,许书言,数学科学学院,t029@fudan.edu.cn
30,曹予安,物理学系,t030@fudan.edu.cn
31,段若彤,化学系,t031@fudan.edu.cn
32,叶知行,生命科学学院,t032@fudan.edu.cn
33,潘佳怡,新闻学院,t033@fudan.edu.cn
34,任嘉祺,经济学院,t034@fudan.edu.cn
35,苏亦辰,管理学院,t035@fudan.edu.cn
36,方雨薇,外国语言文学学院,t036@fudan.edu.cn
37,梁星河,法学院,t037@fudan.edu.cn
38,杜婉清,医学院,t038@fudan.edu.cn
39,蒋承泽,公共卫生学院,t039@fudan.edu.cn
40,汪思妍,计算机科学技术学院,t040@fudan.edu.cn
41,白文博,信息科学与工程学院,t041@fudan.edu.cn
42,江若宁,数学科学学院,t042@fudan.edu.cn
43,程子淳,物理学系,t043@fudan.edu.cn
44,邱语晨,化学系,t044@fudan.edu.cn
45,邵梓涵,生命科学学院,t045@fudan.edu.cn
46,陶雨晴,新闻学院,t046@fudan.edu.cn
47,孟思源,经济学院,t047@fudan.edu.cn
48,顾书瑶,管理学院,t048@fudan.edu.cn
49,罗嘉宇,外国语言文学学院,t049@fudan.edu.cn
50,纪若彤,法学院,t050@fudan.edu.cn
51,秦子墨,医学院,t051@fudan.edu.cn
52,陆清扬,公共卫生学院,t052@fudan.edu.cn
53,袁知夏,计算机科学技术学院,t053@fudan.edu.cn
54,石予安,信息科学与工程学院,t054@fudan.edu.cn
55,邹思齐,数学科学学院,t055@fudan.edu.cn
56,孔子涵,物理学系,t056@fudan.edu.cn
57,严泽宇,化学系,t057@fudan.edu.cn
58,邵清越,生命科学学院,t058@fudan.edu.cn
59,蒋逸凡,新闻学院,t059@fudan.edu.cn
60,沈欣怡,经济学院,t060@fudan.edu.cn
61,邢书言,管理学院,t061@fudan.edu.cn
62,贺雨桐,外国语言文学学院,t062@fudan.edu.cn
63,罗明轩,法学院,t063@fudan.edu.cn
64,许静怡,医学院,t064@fudan.edu.cn
65,周嘉祺,公共卫生学院,t065@fudan.edu.cn
66,吴星河,计算机科学技术学院,t066@fudan.edu.cn
67,徐婉清,信息科学与工程学院,t067@fudan.edu.cn
68,孙承泽,数学科学学院,t068@fudan.edu.cn
69,马思妍,物理学系,t069@fudan.edu.cn
70,朱文博,化学系,t070@fudan.edu.cn
71,胡若宁,生命科学学院,t071@fudan.edu.cn
72,郭子淳,新闻学院,t072@fudan.edu.cn
73,何语晨,经济学院,t073@fudan.edu.cn
74,高梓萱,管理学院,t074@fudan.edu.cn
75,林泽宇,外国语言文学学院,t075@fudan.edu.cn
76,宋佳宁,法学院,t076@fudan.edu.cn
77,郑昊然,医学院,t077@fudan.edu.cn
78,谢语彤,公共卫生学院,t078@fudan.edu.cn
79,唐浩宇,计算机科学技术学院,t079@fudan.edu.cn
80,冯思琪,信息科学与工程学院,t080@fudan.edu.cn
81,韩泽凯,数学科学学院,t081@fudan.edu.cn
82,彭诗涵,物理学系,t082@fudan.edu.cn
83,蔡宇航,化学系,t083@fudan.edu.cn
84,邓欣妍,生命科学学院,t084@fudan.edu.cn
85,许书言,新闻学院,t085@fudan.edu.cn
86,曹予安,经济学院,t086@fudan.edu.cn
87,段若彤,管理学院,t087@fudan.edu.cn
88,叶知行,外国语言文学学院,t088@fudan.edu.cn
89,潘佳怡,法学院,t089@fudan.edu.cn
90,任嘉祺,医学院,t090@fudan.edu.cn
91,苏亦辰,公共卫生学院,t091@fudan.edu.cn
92,方雨薇,计算机科学技术学院,t092@fudan.edu.cn
93,梁星河,信息科学与工程学院,t093@fudan.edu.cn
94,杜婉清,数学科学学院,t094@fudan.edu.cn
95,蒋承泽,物理学系,t095@fudan.edu.cn
96,汪思妍,化学系,t096@fudan.edu.cn
97,白文博,生命科学学院,t097@fudan.edu.cn
98,江若宁,新闻学院,t098@fudan.edu.cn
99,程子淳,经济学院,t099@fudan.edu.cn
100,邱语晨,管理学院,t100@fudan.edu.cn
